,claim,exp,label
38,A victim of Tsunami has difficulty in overcoming the experience because she still recollects the happening in dreams and thoughts. The most likely diagnosis is Post traumatic stress disorder.,"PTSD is characterised by recurrent and intrusive recollections of the stressful event, either in flashbacks (images, thoughts, or perceptions) and/or in dreams. There is an associated sense of re-experiencing of the stressful event. There is marked avoidance of the events or situations that arouse recollections of the stressful event, along with marked symptoms of anxiety and increased arousal. The other impoant clinical features of PTSD include paial amnesia for some aspects of the stressful event, feeling of numbness, and anhedonia (inability to experience pleasure). Ref: A Sho Textbook of Psychiatry, Niraj Ahuja, 7th Edition, pg. no. 112",sup
39,More than 90 % patients of CREST syndrome with the limited cutaneous form of this disorder make Anti-centromere.,"All forms of scleroderma are thought to have a strong autoimmune component, and glucocoicoids and azathioprine are used to suppress the inflammatory complications of scleroderma. (Other drugs that can be used in therapy include penicillamine, which inhibits collagen cross-linking, NSAIDS for pain, and ACE inhibitors to protect the kidney if hypeension or renal damage occurs). The anti-centromere antibody is quite specific for CREST syndrome (96% of cases), and is only seen in a minority of patients with diffuse scleroderma (mainly those with Raynaud's phenomenon) and rarely in systemic lupus erythematosus and mixed connective tissue disease.Also know:Anti-DNA topoisomerase I , also called anti-Scl-70 occurs commonly (64-75%) in diffuse scleroderma, but only rarely in CREST syndrome.Anti-double-stranded DNA is fairly specific for systemic lupus erythematosus, although it only occurs in 50-60% of lupus cases.Anti-Golgi antibodies are seen most often in systemic lupus erythematosus and Sjogren syndrome. Ref: Hellmann D.B., Imboden Jr. J.B. (2013). Chapter 20. Musculoskeletal & Immunologic Disorders. In M.A. Papadakis, S.J. McPhee, M.W. Rabow (Eds),CURRENT Medical Diagnosis & Treatment 2013.",sup
40,Sacro-Iliac joint involvement is common in ankylosing spondylitis.,"(A) Ankylosing spondylitis # ANKYLOSING SPONDYLITIS (AS, from Greek ankylos, crooked; spondylos, vertebrae; -itis, inflammation), previously known as Bekhterev's disease, Bekhterev syndrome, and Marie-Strumpell disease, is a chronic inflammatory disease of the axial skeleton with variable involvement of peripheral joints and nonarticular structures. AS is a form of spondyloarthritis, a chronic, inflammatory arthritis where immune mechanisms are thought to have a key role. It mainly affects joints in the spine and the sacroiliac joint in the pelvis, and can cause eventual fusion of the spine.> The typical patient is a young male, aged 20-40; however, the condition also presents in females.> The condition is known to be hereditary. Symptoms of the disease first appear, on average, at age 23 years. These first symptoms are typically chronic pain and stiffness in the middle part of the spine or sometimes the entire spine, often with pain referred to one or other buttock or the back of thigh from the sacroiliac joint.",sup
41,An ideal method to prevent aspiration pneumonia is a cuffed endotracheal tube.,"Ans: A (Cuffed endotracheal tube) Ref: Bailey, 24th ed, p. 46; Ajay Yadav, p. 101A cuffed endotracheal tube is used to:1. Facilitate artificial airway ventilation or surgery around face or airway.2. Protection of lung if there is a risk of pulmonary aspiration.Predisposing factors for aspiration:1. Full stomach-- single, most important factor.2. | Level of consciousness.3. Conditions which reduce the tone of LES:Pregnancy (acid aspiration in late pregnancy- Mendelson syndrome)Abdominal tumorsObesity, hiatus herniaPresence of nasogastric tubeDrugs-Atropine, glycopyrrolate, opioids, thiopentone.4. Conditions delaying gastric emptyingDiabetes, hypothyroidism, pain, anxiety, anticholinergics, opium.Management:Prevention:Management - full stomach patients:1. Empty stomach2. H2blockers- to reduce acid production.3. Metoclopramide4. Neutralisation of gastric contents by antacids1. Regional anesthesia is preferred2. Awake intubation3. Rapid sequence intubation- Sellick maneuver",sup
42,Left gonadal vein does not cross the midline of the body.,"The left gonadal vein drains into the left renal vein which crosses the midline to join inferior vena cava. All the other options (Left renal vein, left brachiocephalic vein and hemiazygous vein) cross the midline.Ref: Human Anatomy, B D Chaurasia, 4th Edition, Volume 2, Chapter 24, Page 297, 307, 316; Clinical Anatomy by Systems, Richard S. Snell, 2007 Edition, Page 166, 167, 840.",sup
43,Mucositis is caused by 5-Fluorouracil.,"Flurouracil is used mainly for solid malignancies,i.e colon, rectum, pancreas, liver, urinary bladder, head, and neck. Genetic deficiency of dihydropyridine dehydrogenase(DPD) leads to Fluorouracil toxicity. Major toxicity is myelosuppression, mucositis, diarrhea, nausea, vomiting, peripheral neuropathy (hand-foot syndrome)also occurs. Other given drugs are anti-cancerous drugs without mucositis. ESSENTIALS OF MEDICAL PHARMACOLOGY-SEVENTH EDITION-K.D TRIPATHI Page; 864",sup
44,Bad trip is the most common cause of emergency depament visit related to LSD and its related substances.,"The most frequent acute medical emergency associated with LSD use is a panic episode (the ""bad trip""), which may persist up to 24 h.A trip is a period of intoxication from a hallucinogenic drug, such as lysergic acid (LSD) or magic mushrooms (psilocybin). It is called a trip because perceptions of the world change so dramatically, it can feel as if a trip to a strange, new land is taken. Unpleasant experience of hallucinogen intoxication is known as a bad trip.Harrison 19e pg: Cocaine and Other Commonly Abused Drugs",sup
45,"In a family, the father has widely spaced eyes, increased facial hair and deafness is normal in this case.","A i.e. Autosomal dominant (most likely) Waardenburg's Syndrome (WS) is a rare autosomal dominant syndrome characterized by pigmentary disturbances (skin, hair, iris), sensorineural hearing loss, and other developmental anomalies such as dystopia canthorum (widely spaced eyes) and blepharophimosis. The syndrome that closest matches the features provided in the question is Waardeburg syndrome type-I. This is inherited as an autosomal dominant fashion and hence is the answer of exclusion. As the question does not provide us with details as to the sex of the three children, a sex linked inheritance pattern cannot be worked out. Also the combined presentation of an affected father, unaffected mother and one affected child among three children is possible with both an autosomal dominant and an autosomal recessive inheritance pattern. In absence of any more details, the answer to this question cannot be deduced through the exploration of various permutations and combinations. How both autosomal dominant and autosomal recessive inheritance can be responsible for the above combination: Autosomal Dominant Autosomal recessive (A-affected allele and a normal allele) If the disease is transmitted in an Autosomal Dominant then :Father (affected) will be either 'AA' or 'Aa' Mother (unaffected) will be 'aa' If father is AA and mother aa, the offsprings will be 1. aA - 100% affected If father is Aa and mother aa, the offsprings will Aa - 50% affected aa - 50% not affected The scenario in the above question therefore is possible autosomal dominant inheritance if father is Aa and mother is aa (A'-affected allele and 'a' normal allele) If the disease is transmitted in an Autosomal recessive form :Father (affected) will be 'AA' Mother (unaffected) may be 'aa' or 'Aa' If father is AA and mother aa, the offsprings will be 1. aA - 100% not affected, (but carriers) If father is AA and mother Aa, the offsprings will be Aa - 50% not affected, carrier AA - 50% affected The scenario in the above question therefore is possible with autosomal recessive inheritance if father is aa and mother is Aa",sup
46,The most impoant prognostic factor of Wilms tumor is histopathology.,"Robbins basic pathology 10th edition page no 290. Wilms tumor or nephroblastoma is the most common primary tumor of the kidney in children. On microscopic examination, Wilms tumors are characterized by recognizable attempts to recapitulate different stages of nephrogenesis. The pattern of anaplastic cells within the primary tumor has impoant implications for prognosis.",sup
47,Acyl carnitine functions in transport of long chain fatty acid.,"Ans: a (Transport of long....) Ref: Vasudevan, 4th ed, p. 129The long chain fatty acyl CoA cannot pass through the inner mitochondrial membrane. There fore a transporter, carnitine is involved in transfer of fatty acids.Beta oxidation:Beta oxidation is absent in brain and erythrocytes (because erythrocytes lack mitochondria and fatty acids do not cross BBB).Carnitine acyl transferase -1 is inhibited by Malonyl CoA.Clinical correlate:Carnitine acyl transferase(CAT) deficiency (myopathic form)Although all tissues contain CAT most common form of genetic deficiency is myopathic form and due to a defect in muscle specific CAT gene.Features:Muscle aches, red urineRhabdomyolysis, myoglobinuriaProvoked by exerciseIncreased by high fat; low carbohydrate dietMuscle biopsy: increased muscle triglyceride in cytoplasmTreatment: Cease muscle activity, give glucose.",sup
48,Duhamel procedure is done for Hirschsprung's disease.,"Ans. is 'a' i.e., Hirschsprung's disease * Surgery in Hirschsprung's disease aims to remove the aganglionic segment and 'pull-through' ganglionic bowel to the anus (e.g. Swenson, Duhamel, Soave and transanal procedures) and can be done in a single stage or in several stages after first establishing a proximal stoma in normally innervated bowel.",sup
49,A Faulty coital practice showing non motile sperms in the cervical smear and Motile Sperms from the posterior fornix suggests.,"Ans. is a i.e. Immunological defect Post coital test is a test for evaluation of the potential role of cervical factor in infeility. The couple is advised intercourse close to ovulation time, in the early hours of morning (preferably) The woman presents herself at the clinic within 2 hours after the intercourse. The mucus is aspirated from the cervical canal and posterior fornix (acts as control) and spread over a glass slide. Result : 10-50 motile Sperms with progressive movement/ HPF in cervical mucus seen Cervical factor ruled out Less than 10 sperms / HPF Need for proper semen analysis to see oligospermia Sperms immotile in mucus aspirated from cervical canal and motile in specimen from posterior fornix or Rotatory/ shaky movement seen in sperms aspirated from cervical canal Immunological defect",sup
50,Patients on treatment on carbidopa + levodopa for 10 yrs now have weaning off effect of Tolcapone.,"Ans. is 'a' i.e., Tolcapone o Both entacapone and tolcapone enhance and prolong the therapeutic effect of levodopa-carbidopa in advanced and fluctuating parkinsons disease. They may be used to smoothen off the 'wearing off', increase 'on' time and decrease loff' time, improve activities of daily living and allow levodopa dose to be reduced,o Treatment of on - off phenomenon in parkinsonism:Add one or two additional doses of levodopa.Continuous delivery of levodopa in duodenum.Avoid proteins in diet.Controlled release oral levodopa.'' peripheral decarboxylase inhibitor.Use of subcutaneous apomorphine.",sup
